,model,temp,qdot,qbo
0,CCSRNIES,0.011501821600025887,-1.0376224738138475,-0.01660167648065628
1,CCSRNIES,0.09636452357869814,0.197908062043463,0.003828889806004376
2,CCSRNIES,0.07135587507007225,-0.3280013629803478,0.01625418444474168
3,CCSRNIES,0.03430735448841398,-0.30793684791977255,-0.01948598533925313
4,CCSRNIES,0.0169225468544,-0.9106247640552624,0.014430373420157808
5,CCSRNIES,0.03438252275833779,-0.8271592008187308,0.007584554472882605
6,CCSRNIES,0.055973226351783464,-0.9197877881478366,-0.0006055865920150557
7,CCSRNIES,0.04328355922756195,-0.1951884706801207,-0.023647280746533248
8,CCSRNIES,0.0737023729540502,1.0090926570105496,0.026137231017074786
9,CCSRNIES,0.010498596458450495,0.7162372505045145,0.02128918072678302
10,CCSRNIES-MIROC3.2,0.09140468404981286,-1.028258133444309,0.009034934751800509
11,CCSRNIES-MIROC3.2,0.19859910276420303,-1.1875863644445759,0.007248912465782118
12,CCSRNIES-MIROC3.2,0.21004922510806295,-1.8779327195394975,0.00670434967308543
13,CCSRNIES-MIROC3.2,0.08401187184358559,-0.8923708492753493,0.009672230907455408
14,CCSRNIES-MIROC3.2,0.3122155379077009,-0.13852203117807224,0.00825909333628436
15,CCSRNIES-MIROC3.2,0.3849557964147343,-2.03914867386528,0.006809546612692041
16,CCSRNIES-MIROC3.2,-0.02167284019276292,-2.1561382715871433,0.010162067566527206
17,CCSRNIES-MIROC3.2,0.2647738777220962,-2.6805771713585442,0.008230687829754064
18,CCSRNIES-MIROC3.2,0.3327243866529861,-1.3518078551369996,0.012736356765581144
19,CCSRNIES-MIROC3.2,0.1940676283851955,-2.7046036467175645,0.00990813363143528
20,CMAM,0.18135939657858946,-3.4635122035173325,0.0183539751692382
21,CMAM,0.13108118084330617,-2.709778848597895,-0.024837210445736325
22,CMAM,0.13681110886781075,-3.567004834324801,-0.007120549356220978
23,CMAM,0.279077934242679,-3.2956060992657807,-0.001470040649486871
24,CMAM,0.11796648135814958,-4.272574917440883,0.02604664071452785
25,CMAM,0.2915211121692149,-2.4592296138215857,-0.011980797073839432
26,CMAM,0.2007235143187094,-3.482174017431836,-0.019466754773174715
27,CMAM,0.20021212190368792,-3.0706698184695114,0.009018669076397996
28,CMAM,0.3396382118362863,-3.1783381887394833,-0.008388955367117335
29,CMAM,0.30571511273876345,-2.291277443885432,0.03132097491913544
30,CMAM_CCMI,0.15673889495281165,-3.0810768192536426,0.008662978460072218
31,CMAM_CCMI,0.1417903684151793,-3.0868018332434253,0.00363171542540249
32,CMAM_CCMI,0.19043277179456375,-3.358346892729182,0.010234776817486971
33,CMAM_CCMI,0.12678235836707907,-2.9517474993058106,0.01438131078756293
34,CMAM_CCMI,0.07214412654347026,-3.8212936881184674,0.028330698116619035
35,CMAM_CCMI,0.1593042157511051,-4.742090577483367,0.012116197735377764
36,CMAM_CCMI,0.038503810243351685,-3.949199461987362,0.04738927524594859
37,CMAM_CCMI,0.20639530878431253,-3.6113157719041267,0.011933901053804657
38,CMAM_CCMI,0.11892592196965784,-3.1864694678866137,0.006350944193921872
39,CMAM_CCMI,0.24025249712836408,-4.377722114082293,-0.03403527716535109
40,CNRM-CM5-3,0.19394654770252068,1.8301699268022682,-9.900081941064466e-05
41,CNRM-CM5-3,0.1964200857122785,1.7189215162851965,0.0007411276012416868
42,CNRM-CM5-3,0.24011374448624234,1.5600954727286889,0.004695193960825161
43,CNRM-CM5-3,0.3166548011466395,1.5313657994348087,-0.006181260114338758
44,CNRM-CM5-3,0.17755137955396152,1.0245990939150285,0.002508456392164748
45,CNRM-CM5-3,0.3199065382743628,1.594517608572184,0.0035435328261180054
46,CNRM-CM5-3,0.29642109586626775,1.558505850718297,0.001484321933866123
47,CNRM-CM5-3,0.3322258069572229,1.6242223904229336,-0.01680247630933117
48,CNRM-CM5-3,0.38201242372137917,1.981916307099174,-0.018030365344457094
49,CNRM-CM5-3,0.19194441327283077,1.7197282105169418,-0.03555517150270315
50,GEOSCCM,-0.02044154075660837,-3.5683028110708475,-0.016876217128555568
51,GEOSCCM,0.05906825667183271,-4.350045673251352,-0.04293983466204629
52,GEOSCCM,0.08075617353442088,-3.558774267099566,-0.011379459079029916
53,GEOSCCM,0.012351207050487832,-3.057181250311486,0.021499261339976063
54,GEOSCCM,0.06228576838898381,-3.997977431185748,0.016610494629917604
55,GEOSCCM,0.055498904341919494,-3.364528418404675,-0.021011327450811156
56,GEOSCCM,0.03468016057051823,-3.4525369994953135,-0.000727357432947845
57,GEOSCCM,0.0868125414632407,-3.491427489596068,0.016721932741771407
58,GEOSCCM,0.15192948299470788,-3.245638719002875,-0.029845292739000315
59,GEOSCCM,0.13038076220845138,-4.074986681388072,-0.0028733119213617225
60,GEOSCCM_CCMI,0.15941261430710085,-6.260869232830341,0.007601616845803774
61,GEOSCCM_CCMI,0.08318254954437058,-3.7511361505684166,0.0008402052466000467
62,GEOSCCM_CCMI,0.1797550219078005,-4.890104861000637,0.0016647537620816672
63,GEOSCCM_CCMI,0.01972253456407995,-4.064564783425261,0.007130997463724917
64,GEOSCCM_CCMI,0.07436266513937766,-4.880310036879752,0.00723763210302731
65,GEOSCCM_CCMI,-0.1282556818654261,-4.7793236724526835,0.005061772808064614
66,GEOSCCM_CCMI,0.11270549067001835,-4.412295280364716,0.0013666543558269175
67,GEOSCCM_CCMI,0.08596377805379404,-5.769601409102822,0.0001533227658071968
68,GEOSCCM_CCMI,0.1583649902962238,-3.083422009046536,0.0008896212032789189
