,model,temp,qdot,qbo
0,CCSRNIES,0.0025162340892499516,0.017334332281539418,0.016862221580472413
1,CCSRNIES,0.02589228561014923,0.003793281272943408,0.0029669960577462314
2,CCSRNIES,0.02779897909793531,0.006617893416171678,0.014194478229922147
3,CCSRNIES,0.009734945814181826,0.004746426350451043,0.01430700302281545
4,CCSRNIES,0.0047643482038894885,0.015227509511975762,0.015022089383858265
5,CCSRNIES,0.01107236410117444,0.01599342146828903,0.009761593307096266
6,CCSRNIES,0.01372460086329565,0.017699236637908112,0.0005620965629794915
7,CCSRNIES,0.014009375097182725,0.0044743106174648115,0.02423075230330613
8,CCSRNIES,0.015803946323184662,0.019880395595434405,0.0227476152655413
9,CCSRNIES,0.0027029839318632796,0.013574500497606426,0.014688902721563642
10,CCSRNIES-MIROC3.2,0.02512753785409081,0.04060090926306678,0.08965088541862502
11,CCSRNIES-MIROC3.2,0.06405133582499702,0.04114116690235661,0.0800199859082041
12,CCSRNIES-MIROC3.2,0.05459564840069575,0.07591633852966564,0.07193104028418795
13,CCSRNIES-MIROC3.2,0.016673230720760955,0.034017249988367165,0.09724583912426202
14,CCSRNIES-MIROC3.2,0.0780753249279831,0.00501596893265005,0.08447364748398077
15,CCSRNIES-MIROC3.2,0.092649550176939,0.06915445594459313,0.0689674023648479
16,CCSRNIES-MIROC3.2,0.0037710915616333326,0.08031903983405514,0.10252111899637578
17,CCSRNIES-MIROC3.2,0.0697825485451866,0.10027664447618616,0.08351352698879158
18,CCSRNIES-MIROC3.2,0.059454318480346165,0.039519666958255636,0.1152123586627099
19,CCSRNIES-MIROC3.2,0.03480037111811897,0.09706425860870767,0.10334807825315243
20,CMAM,0.04587922160978152,0.07124516537954229,0.017929146885128335
21,CMAM,0.035971721879508374,0.06908271526110175,0.025628360974449003
22,CMAM,0.025228632522195173,0.0916034117787093,0.007350630497901515
23,CMAM,0.10274039046384854,0.094600401774221,0.0020502570057366995
24,CMAM,0.03835457058972984,0.11304359346008128,0.0214157575905404
25,CMAM,0.09174712656937871,0.0645757299321686,0.011929322513657546
26,CMAM,0.0401016961578751,0.0851243914157627,0.01866020658042597
27,CMAM,0.048769106286888714,0.07319584914035962,0.008427081674931553
28,CMAM,0.06014411009557107,0.0806550992792821,0.008197522440325377
29,CMAM,0.0644413057635191,0.05769675825333857,0.03522989502333708
30,CMAM_CCMI,0.07119457045359946,0.07988888195453554,0.009327910526843985
31,CMAM_CCMI,0.052095324793012925,0.07870492693267936,0.0036545438445871833
32,CMAM_CCMI,0.0795140408920191,0.06673034144695865,0.014582223296758687
33,CMAM_CCMI,0.023171767899450215,0.05945153759496715,0.01859253094401406
34,CMAM_CCMI,0.024447689989038526,0.08925380211753127,0.03718689983866044
35,CMAM_CCMI,0.05915340401568988,0.13259518586315305,0.014324224289910264
36,CMAM_CCMI,0.010421370811346675,0.0975070990382281,0.06530757631737298
37,CMAM_CCMI,0.07411367396869296,0.08547228685899781,0.0178944022999577
38,CMAM_CCMI,0.04899326799398299,0.07742271715453643,0.006899595886069185
39,CMAM_CCMI,0.06502686482632841,0.08398140453736504,0.026095311556331532
40,CNRM-CM5-3,0.049299856824244155,0.062400870421737045,0.00013789281153919617
41,CNRM-CM5-3,0.05842241826509331,0.06313687838500667,0.001440159237286427
42,CNRM-CM5-3,0.05568762103703433,0.050482942769439744,0.010423932976114771
43,CNRM-CM5-3,0.0740731084854676,0.05703739210169145,0.012056768982844683
44,CNRM-CM5-3,0.03962721630687043,0.03352949464965229,0.004731375865623135
45,CNRM-CM5-3,0.09174638232940414,0.05781020738209898,0.006994722506636562
46,CNRM-CM5-3,0.07934141981185942,0.04834875053392906,0.0024533811965612305
47,CNRM-CM5-3,0.08037633741587158,0.057995493304893286,0.023394915172579342
48,CNRM-CM5-3,0.10497305443255374,0.06908613814226014,0.03428201618837027
49,CNRM-CM5-3,0.050723982176739686,0.0667729722225314,0.053140265470698625
50,GEOSCCM,0.005006029362939346,0.11222208944307148,0.01924705995884829
51,GEOSCCM,0.015082574638634771,0.1675760759686271,0.04524055364710146
52,GEOSCCM,0.020659441359905346,0.1154379038627728,0.010480147885826876
53,GEOSCCM,0.003179135573583707,0.11278138667489995,0.02865324018816009
54,GEOSCCM,0.01426655538048614,0.13025498988445416,0.018088208451490284
55,GEOSCCM,0.013012844358463305,0.10498365008142974,0.020838989470939887
56,GEOSCCM,0.008414313745878858,0.11186828615222119,0.0008759995789898182
57,GEOSCCM,0.020444752233635545,0.10151085303048,0.016273709364304435
58,GEOSCCM,0.035079493831171184,0.10699750202237282,0.03564134402164189
59,GEOSCCM,0.02820484566974616,0.12227829684585595,0.003250882227810953
60,GEOSCCM_CCMI,0.04656354723339379,0.262055851090969,0.060038094322735054
61,GEOSCCM_CCMI,0.01592636980763545,0.11609059755944381,0.007154168737812656
62,GEOSCCM_CCMI,0.04917471672873933,0.15779269295683399,0.013919155298882912
63,GEOSCCM_CCMI,0.006235037953319078,0.1570505055859647,0.058722999064283715
64,GEOSCCM_CCMI,0.01675819064938569,0.1671558216085794,0.05446072936569076
65,GEOSCCM_CCMI,0.027957433915710882,0.15303016000592357,0.03787853835624587
66,GEOSCCM_CCMI,0.023035066306299982,0.13461051003232993,0.010770711583829374
67,GEOSCCM_CCMI,0.022592624091900913,0.21873080743924275,0.0011958506414470377
68,GEOSCCM_CCMI,0.038722211583981404,0.10102271341426505,0.007589211559130022
69,GEOSCCM_CCMI,0.04107867542784168,0.14525640941638115,0.0015154465968415269
